time,ypc,xpc,hpc,gpc,cpc
1980.2500,11479.25812,3504.702818,0.2317980499,1546.840631,6427.71467
1980.5000,11219.51205,3210.088836,0.2284594525,1650.4005,6359.022713
1980.7500,11148.36887,3083.554844,0.2272136076,1704.350991,6360.46304
1981.0000,11282.68264,3244.214605,0.2276048932,1671.069905,6367.398133
1981.2500,11444.26861,3448.235813,0.2284881986,1652.020393,6344.012403
1981.5000,11332.44058,3324.67231,0.2289664337,1667.757345,6340.010924
1981.7500,11412.64575,3433.798599,0.2274733774,1673.58606,6305.261089
1982.0000,11258.14837,3307.849474,0.2258169433,1672.494631,6277.804267
1982.2500,11050.66674,3102.276568,0.2241856229,1673.52786,6274.862313
1982.5000,11076.47545,3104.022163,0.2237480468,1710.318553,6262.134738
1982.7500,11012.51781,3064.086187,0.2229842928,1642.662763,6305.768858
1983.0000,10994.4431,2943.948979,0.2219513,1672.513195,6377.980924
1983.2500,11099.53614,2979.027384,0.2222631808,1702.651049,6417.857708
1983.5000,11296.79378,3163.493439,0.2242785724,1652.448766,6480.85157
1983.7500,11469.55286,3294.764574,0.2282531003,1609.885415,6564.902872
1984.0000,11658.84378,3513.58774,0.2306161023,1540.684718,6604.571326
1984.2500,11847.22863,3727.097714,0.2331624353,1499.015124,6621.11579
1984.5000,12017.57398,3811.451649,0.2361311798,1511.222896,6694.899436
1984.7500,12106.10805,3842.932408,0.2365474515,1522.815446,6740.360196
1985.0000,12172.36526,3849.537512,0.2373509573,1529.235623,6793.592122
1985.2500,12260.96199,3779.906857,0.2380941119,1601.13064,6879.924489
1985.5000,12344.28511,3838.261846,0.2376339765,1559.218329,6946.804937
1985.7500,12501.25177,3874.670948,0.237572502,1588.929003,7037.651815
1986.0000,12574.0234,3911.221458,0.2384927679,1563.8537,7098.948237
1986.2500,12666.51581,3920.893975,0.2390995147,1588.26831,7157.353525
1986.5000,12707.61674,3931.468541,0.2395052187,1612.922224,7163.225972
1986.7500,12816.40538,3983.534332,0.2407525926,1618.502201,7214.368843
1987.0000,12875.85998,3950.97314,0.2416214134,1634.731143,7290.155692
1987.2500,12953.52228,3948.464878,0.2431173788,1622.672427,7382.38497
1987.5000,13072.96857,3990.663088,0.2449615742,1621.96579,7460.339697
1987.7500,13171.26436,4024.829361,0.2462056608,1626.027747,7520.407249
1988.0000,13363.69463,4136.287632,0.2473003382,1657.168211,7570.238784
1988.2500,13423.32479,4038.434266,0.2480879958,1715.984937,7668.905588
1988.5000,13585.18373,4077.685543,0.249063887,1762.747818,7744.750371
1988.7500,13654.80517,4037.955305,0.2503769373,1775.840907,7841.008959
1989.0000,13813.8492,4096.653342,0.2520316737,1796.5123,7920.683555
1989.2500,13933.92843,4150.276308,0.2543651581,1813.592701,7970.059426
1989.5000,14010.34303,4113.269836,0.255029831,1882.059532,8015.013659
1989.7500,14079.42647,4108.003187,0.2551506556,1921.66423,8049.759052
1990.0000,14079.2003,4040.880723,0.2548181544,1920.541038,8117.778544
1990.2500,14186.51236,4096.363317,0.2560908048,1934.788557,8155.360482
1990.5000,14205.99939,4020.84008,0.254293509,1984.027195,8201.132117
1990.7500,14171.79406,3937.931584,0.2521365534,1969.184395,8264.678079
1991.0000,14020.38138,3763.982392,0.249993395,1995.541767,8260.857225
1991.2500,13914.13839,3634.543878,0.2475964233,2088.324247,8191.270266
1991.5000,13966.60707,3619.70409,0.2465372603,2130.542192,8216.360784
1991.7500,13981.53234,3646.42469,0.2455984139,2124.662008,8210.445643
1992.0000,13992.45548,3667.583768,0.2449277375,2112.545842,8212.32587
1992.2500,14098.29692,3642.778105,0.2448707842,2134.842887,8320.675923
1992.5000,14198.8457,3731.251675,0.2451853413,2119.345614,8348.248408
1992.7500,14284.12128,3740.646697,0.2453565957,2133.540658,8409.933927
1993.0000,14375.04566,3791.387712,0.245064638,2110.1577,8473.500251
1993.2500,14359.98448,3813.646853,0.245703323,2063.623952,8482.713674
1993.5000,14393.40805,3847.662465,0.2466935322,2038.920888,8506.824697
1993.7500,14414.38386,3828.328921,0.2476484933,2033.60616,8552.448779
1994.0000,14546.53333,3946.764629,0.2482402976,2022.341028,8577.427674
1994.2500,14633.59409,4017.417665,0.2493613321,1999.200689,8616.975731
1994.5000,14781.70682,4140.308113,0.2500266441,1985.4027,8655.996009
1994.7500,14826.39643,4121.681067,0.2508204693,1994.929614,8709.785752
1995.0000,14945.76943,4230.261158,0.2527792719,1970.612006,8744.896261
1995.2500,14960.19975,4221.729457,0.2532445287,1967.793308,8770.67698
1995.5000,14972.56436,4164.338485,0.2521532641,1966.139974,8842.085905
1995.7500,15053.26481,4151.134918,0.2518892952,2025.873208,8876.25668
1996.0000,15113.55066,4198.256615,0.2513334084,2011.096661,8904.19738
1996.2500,15164.71441,4222.178677,0.2503563445,1978.382356,8964.153381
1996.5000,15362.92615,4341.190787,0.2505311564,1984.588078,9037.14728
1996.7500,15448.8146,4426.715446,0.2512997505,1942.10123,9079.997929
1997.0000,15553.12406,4422.013377,0.2517630099,1999.250163,9131.86052
1997.2500,15617.01711,4489.628786,0.2528829304,1957.061749,9170.326578
1997.5000,15788.7673,4565.555263,0.2542412944,2023.034877,9200.177157
1997.7500,15926.57672,4641.352217,0.2550686505,1999.25884,9285.965667
1998.0000,15996.40573,4660.085849,0.2555254901,1980.893558,9355.426324
1998.2500,16099.14387,4751.057069,0.2549800394,1932.031357,9416.05544
1998.5000,16199.94013,4767.055391,0.2547363756,1918.730885,9514.15385
1998.7500,16355.10036,4861.628456,0.2541260045,1899.662357,9593.809543
1999.0000,16562.23605,4988.615121,0.2544701046,1923.365926,9650.255007
1999.2500,16647.85828,5040.410878,0.2550211509,1886.689711,9720.757695
1999.5000,16735.55685,5067.353152,0.2549269698,1844.922446,9823.281255
1999.7500,16893.80669,5144.068756,0.2550004256,1831.373571,9918.364364
2000.0000,17128.22733,5229.165136,0.2555136222,1835.710798,10063.35139
2000.2500,17138.81078,5244.638241,0.2587564504,1733.164031,10161.00851
2000.5000,17406.21572,5370.958138,0.2577485381,1764.611372,10270.64621
2000.7500,17391.70827,5318.835726,0.2554077,1717.990583,10354.88196
2001.0000,17447.95136,5296.427109,0.2547405619,1712.51401,10439.01024
2001.2500,17367.31463,5124.738145,0.2535720399,1772.391133,10470.18535
2001.5000,17413.42502,5092.538973,0.2511263107,1847.220104,10473.66594
2001.7500,17323.7718,4998.004154,0.2495152354,1858.09706,10467.67059
2002.0000,17330.0279,4954.49527,0.24787088,1886.833376,10488.69925
2002.2500,17448.0578,5013.220754,0.2471412001,1908.176195,10526.66085
2002.5000,17502.72645,5020.299128,0.2467276441,1875.223533,10607.20379
2002.7500,17546.31908,5034.657509,0.246486676,1866.65678,10645.00479
2003.0000,17522.16032,4985.532238,0.2450650291,1820.495919,10716.13216
2003.2500,17563.98991,4967.351713,0.2451828755,1824.182703,10772.45549
2003.5000,17667.15803,5007.067716,0.2445974284,1862.660958,10797.42936
2003.7500,17892.81592,5142.305507,0.24362687,1853.541468,10896.96895
2004.0000,18041.10639,5230.274634,0.244275592,1859.718061,10951.11369
2004.2500,18092.11364,5227.808979,0.2442100141,1849.557792,11014.74687
2004.5000,18167.76081,5345.312268,0.2442405139,1780.652071,11041.79647
2004.7500,18272.0957,5395.524851,0.244544074,1766.253274,11110.31757
2005.0000,18369.46366,5463.996112,0.2445094142,1708.328403,11197.13914
2005.2500,18501.19349,5541.219838,0.2442029793,1752.108028,11207.86563
2005.5000,18544.99685,5531.693691,0.2453106172,1739.479221,11273.82393
2005.7500,18645.41525,5561.593741,0.2459463557,1718.058921,11365.76259
2006.0000,18700.83737,5619.995572,0.2458857993,1640.751386,11440.09042
2006.2500,18860.92481,5703.642898,0.2468572047,1695.563179,11461.71873
2006.5000,18877.03996,5658.656022,0.2472667234,1696.963369,11521.42057
2006.7500,18857.30376,5606.468811,0.2473654347,1679.271437,11571.56351
2007.0000,18959.28155,5541.616008,0.2484321144,1813.423677,11604.24186
2007.2500,18939.61691,5480.706365,0.2485821773,1822.614408,11636.29614
2007.5000,19042.1313,5519.543565,0.247538198,1843.214685,11679.37305
2007.7500,19130.29231,5487.412876,0.2472309513,1903.4953,11739.38413
2008.0000,19163.73504,5403.979838,0.247310392,1946.886487,11812.86871
2008.2500,19014.22605,5223.603124,0.2467571656,1927.455972,11863.16695
2008.5000,19068.46201,5159.115586,0.2453748817,1958.028945,11951.31747
2008.7500,18951.53906,5017.216342,0.243070026,1995.906928,11938.41579
2009.0000,18549.36177,4670.793057,0.2397009182,2186.187272,11692.38144
2009.2500,18271.7408,4312.6313,0.2335995689,2418.829278,11540.28022
2009.5000,18197.4574,4137.503814,0.2304629492,2531.985616,11527.96797
2009.7500,18200.12336,4128.968604,0.228189376,2482.608717,11588.54604
2010.0000,18313.24439,4249.811159,0.2261139692,2450.886134,11612.54709
2010.2500,18335.67713,4302.290236,0.2267246625,2404.202359,11629.18454
2010.5000,18447.55497,4447.355929,0.2279220523,2378.412717,11621.78632
2010.7500,18517.33865,4520.964309,0.2283039385,2358.990265,11637.38407
2011.0000,18586.82132,4506.624874,0.2281351668,2373.314064,11706.88238
2011.2500,18493.61235,4436.487785,0.2286013021,2277.742857,11779.38171
2011.5000,18602.35174,4502.369312,0.2287151226,2264.466858,11835.51557
2011.7500,18624.91634,4501.076249,0.2291409852,2260.028095,11863.812
2012.0000,18804.17564,4710.413121,0.2303444465,2207.146504,11886.61602
2012.2500,18904.39462,4772.043077,0.2322413186,2203.18676,11929.16478
2012.5000,18968.94998,4831.251984,0.2326890228,2216.610364,11921.08764
2012.7500,18970.76888,4796.494864,0.2330628948,2265.088456,11909.18556
2013.0000,18955.03599,4765.819961,0.2341587012,2255.281056,11933.93497
2013.2500,19018.91003,4820.392519,0.2339098228,2227.910668,11970.60684
2013.5000,19049.32881,4848.874591,0.2343168692,2213.352768,11987.10145
2013.7500,19161.33689,4927.860523,0.2346481195,2212.164984,12021.31138
2014.0000,19312.34258,4947.710466,0.234251432,2260.549004,12104.08311
2014.2500,19259.25691,4916.862533,0.2361610481,2197.094345,12145.30003
2014.5000,19450.68154,5037.037857,0.2370197519,2193.739432,12219.90425
2014.7500,19639.44078,5107.746179,0.2380177916,2234.185665,12297.50893
2015.0000,19739.92791,5151.159936,0.2395628403,2179.2744,12409.49357
